"features"	"force_class"	"replace_na"	"script"	"predicted_var"	"predictor_var"	"key"	"extra_info"	"scale"	"as_dummy"	"factor_limit"
"gsubname"	"character"	NA	NA	0	0	0	1	0	0	0
"gname2"	NA	NA	NA	0	0	0	0	0	0	0
"gsubname2"	NA	NA	NA	0	0	0	0	0	0	0
"gname3"	NA	NA	NA	0	0	0	0	0	0	0
"gsubname3"	NA	NA	NA	0	0	0	0	0	0	0
"motive"	"character"	NA	NA	0	0	0	1	0	0	0
"guncertain1"	NA	NA	NA	0	0	0	0	0	0	0
"guncertain2"	NA	NA	NA	0	0	0	0	0	0	0
"guncertain3"	NA	NA	NA	0	0	0	0	0	0	0
"individual"	NA	NA	NA	0	0	0	0	0	0	0
"nperps"	"numeric"	"0"	NA	0	1	0	0	0	0	0
"nperpcap"	NA	NA	NA	0	0	0	0	0	0	0
"claimed"	"factor"	NA	NA	0	1	0	0	0	0	0
"claimmode"	NA	NA	NA	0	0	0	0	0	0	0
"claimmode_txt"	NA	NA	NA	0	0	0	0	0	0	0
"claim2"	NA	NA	NA	0	0	0	0	0	0	0
"claimmode2"	NA	NA	NA	0	0	0	0	0	0	0
"claimmode2_txt"	NA	NA	NA	0	0	0	0	0	0	0
"claim3"	NA	NA	NA	0	0	0	0	0	0	0
"claimmode3"	NA	NA	NA	0	0	0	0	0	0	0
"claimmode3_txt"	NA	NA	NA	0	0	0	0	0	0	0
"compclaim"	NA	NA	NA	0	0	0	0	0	0	0
"weaptype1"	NA	NA	NA	0	0	0	0	0	0	0
"weaptype1_txt"	"factor"	NA	NA	0	1	0	0	0	1	0
"weapsubtype1"	NA	NA	NA	0	0	0	0	0	0	0
"weapsubtype1_txt"	NA	NA	NA	0	0	0	0	0	0	0
"weaptype2"	NA	NA	NA	0	0	0	0	0	0	0
"weaptype2_txt"	NA	NA	NA	0	0	0	0	0	0	0
"weapsubtype2"	NA	NA	NA	0	0	0	0	0	0	0
"weapsubtype2_txt"	NA	NA	NA	0	0	0	0	0	0	0
"weaptype3"	NA	NA	NA	0	0	0	0	0	0	0
"weaptype3_txt"	NA	NA	NA	0	0	0	0	0	0	0
"weapsubtype3"	NA	NA	NA	0	0	0	0	0	0	0
"weapsubtype3_txt"	NA	NA	NA	0	0	0	0	0	0	0
"weaptype4"	NA	NA	NA	0	0	0	0	0	0	0
"weaptype4_txt"	NA	NA	NA	0	0	0	0	0	0	0
"weapsubtype4"	NA	NA	NA	0	0	0	0	0	0	0
"weapsubtype4_txt"	NA	NA	NA	0	0	0	0	0	0	0
"weapdetail"	NA	NA	NA	0	0	0	0	0	0	0
"nkill"	"numeric"	"0"	NA	0	1	0	0	0	0	0
"nkillus"	"numeric"	"0"	NA	0	1	0	0	0	0	0
"nkillter"	"numeric"	"0"	NA	0	1	0	0	0	0	0
"nwound"	"numeric"	"0"	NA	0	1	0	0	0	0	0
"nwoundus"	"numeric"	"0"	NA	0	1	0	0	0	0	0
"nwoundte"	"numeric"	"0"	NA	0	1	0	0	0	0	0
"property"	NA	NA	NA	0	0	0	0	0	0	0
"propextent"	NA	NA	NA	0	0	0	0	0	0	0
"propextent_txt"	NA	NA	NA	0	0	0	0	0	0	0
"propvalue"	NA	NA	NA	0	0	0	0	0	0	0
"propcomment"	NA	NA	NA	0	0	0	0	0	0	0
"ishostkid"	NA	NA	NA	0	0	0	0	0	0	0
"nhostkid"	NA	NA	NA	0	0	0	0	0	0	0
"nhostkidus"	NA	NA	NA	0	0	0	0	0	0	0
"nhours"	"numeric"	"1"	NA	0	1	0	0	0	0	0
"ndays"	"numeric"	"1"	NA	0	1	0	0	0	0	0
"divert"	NA	NA	NA	0	0	0	0	0	0	0
"kidhijcountry"	NA	NA	NA	0	0	0	0	0	0	0
"ransom"	"factor"	"-9"	NA	0	1	0	0	0	1	0
"ransomamt"	NA	NA	NA	0	0	0	0	0	0	0
"ransomamtus"	NA	NA	NA	0	0	0	0	0	0	0
"ransompaid"	NA	NA	NA	0	0	0	0	0	0	0
"ransompaidus"	NA	NA	NA	0	0	0	0	0	0	0
"ransomnote"	NA	NA	NA	0	0	0	0	0	0	0
"hostkidoutcome"	NA	NA	NA	0	0	0	0	0	0	0
"hostkidoutcome_txt"	NA	NA	NA	0	0	0	0	0	0	0
"nreleased"	NA	NA	NA	0	0	0	0	0	0	0
"addnotes"	NA	NA	NA	0	0	0	0	0	0	0
"scite1"	NA	NA	NA	0	0	0	0	0	0	0
"scite2"	NA	NA	NA	0	0	0	0	0	0	0
"scite3"	NA	NA	NA	0	0	0	0	0	0	0
"dbsource"	NA	NA	NA	0	0	0	0	0	0	0
"INT_LOG"	NA	NA	NA	0	0	0	0	0	0	0
"INT_IDEO"	NA	NA	NA	0	0	0	0	0	0	0
"INT_MISC"	NA	NA	NA	0	0	0	0	0	0	0
"INT_ANY"	NA	NA	NA	0	0	0	0	0	0	0
"related"	NA	NA	NA	0	0	0	0	0	0	0
